id,batch_num,hotel_code
1,batch1,PARVD
2,batch1,LONWH
3,batch1,PARWG
4,batch1,PARAR
5,batch1,PARPR
6,batch1,PAROA
7,batch1,PARDT
8,batch1,PARSC
9,batch1,PARST
10,batch1,PARSP
11,batch2,BOMJW
12,batch2,BOMCY
13,batch2,EWRDT
14,batch2,ROABL
15,batch2,STLWP
16,batch2,HNLOW
17,batch2,DALAD
18,batch2,LASJW
19,batch2,BUFBD
20,batch2,MCOCB
21,batch2,SDFGJ
22,batch2,ARBDT
23,batch2,BJSRZ
24,batch2,SYXDB
25,batch2,BJSWF
26,batch2,HGHJW
27,batch2,CANRZ
28,batch2,SHASZ
29,batch2,SYXRZ
30,batch2,WUHBR
31,batch2,SZVCY
32,batch2,NNGMC
33,batch2,ABQCA
34,batch2,ABQCY
35,batch2,ABQFI
36,batch2,ABYCY
37,batch2,ABYFX
38,batch2,ADBBR
39,batch2,AERMC
40,batch2,AMSCY
41,batch2,AMSNT
42,batch2,AMSRD
43,batch2,ATLAA
44,batch2,ATLAB
45,batch2,ATLBD
46,batch2,ATLBU
47,batch2,ATLCA
48,batch2,ATLCU
49,batch2,ATLDO
50,batch2,ATLEP
51,batch2,ATLJW
52,batch2,ATLLP
53,batch2,ATLMQ
54,batch2,ATLNE
55,batch2,ATLPE
56,batch2,ATLRB
57,batch2,ATLSI
58,batch2,AUAAR
59,batch2,AUSNO
60,batch2,AUSRB
61,batch2,TSNER
62,batch3,AMSAA
63,batch3,BERMC
64,batch3,BERMT
65,batch3,BERZT
66,batch3,CPHAC
67,batch3,CPHDK
68,batch3,DUSCY
69,batch3,DUSHF
70,batch3,FLLCO
71,batch3,FRADT
72,batch3,GOAGE
73,batch3,GVARZ
74,batch3,HAMCY
75,batch3,HAMDT
76,batch3,HAMRN
77,batch3,JLPAR
78,batch3,LEJDT
79,batch3,LONGH
80,batch3,LONMA
81,batch3,LONPL
82,batch3,LONRP
83,batch3,LONSE
84,batch3,MCOFW
85,batch3,MCOLZ
86,batch3,MCOSR
87,batch3,MIABB
88,batch3,MIACB
89,batch3,MIAMB
90,batch3,MILBG
91,batch3,MILEX
92,batch3,MILIT
93,batch3,MILMI
